user_id,video_id,action,timestamp,engagement_score
0,375,view,1674345840,0.5
0,252,pause,1648363583,0.5
0,324,view,1635352096,0.5
0,458,skip,1668408639,0.2
0,99,view,1675948871,0.5
0,332,like,1696883553,0.8
0,455,skip,1639335363,0.2
0,391,pause,1606534088,0.5
0,472,rewind,1629658492,0.5
0,198,like,1670452531,0.8
0,194,rewind,1609599073,0.5
0,417,pause,1614195822,0.5
0,275,pause,1628251218,0.5
0,181,like,1638867582,0.8
0,257,skip,1623144785,0.2
0,400,view,1692746849,0.5
0,17,rewind,1634443549,0.5
0,69,skip,1620025675,0.2
0,229,pause,1692801589,0.5
0,68,rewind,1650889492,0.5
0,3,skip,1692836754,0.2
0,291,like,1652199314,0.8
0,386,like,1677473314,0.8
0,162,rewind,1615070204,0.5
0,365,pause,1690430603,0.5
0,86,like,1636070520,0.8
0,103,rewind,1602497076,0.5
0,183,skip,1651644018,0.2
0,321,rewind,1695051309,0.5
0,27,skip,1667550084,0.2
0,424,rewind,1653030948,0.5
0,127,pause,1696394242,0.5
0,50,view,1631331392,0.5
0,139,view,1604397447,0.5
0,402,rewind,1696754713,0.5
0,56,pause,1640897507,0.5
0,84,rewind,1641970764,0.5
0,23,skip,1641727492,0.2
0,348,view,1647092749,0.5
0,443,like,1647893061,0.8
0,483,like,1654135086,0.8
0,9,view,1649484714,0.5
0,434,like,1607620426,0.8
0,265,skip,1699580768,0.2
0,232,skip,1698910913,0.2
0,301,skip,1623012424,0.2
1,216,like,1675654349,0.8
1,331,view,1631751265,0.5
1,97,view,1669925530,0.5
1,248,like,1615663965,0.8
1,265,rewind,1635709830,0.5
1,173,view,1668897685,0.5
1,162,rewind,1670771163,0.5
1,397,rewind,1638059930,0.5
1,66,skip,1635824190,0.2
1,115,like,1632069086,0.8
1,202,like,1626691468,0.8
1,326,like,1624720681,0.8
1,366,rewind,1657283036,0.5
1,473,rewind,1678025893,0.5
2,277,rewind,1612970719,0.5
2,88,like,1643797012,0.8
2,293,view,1681509398,0.5
2,157,like,1661207043,0.8
2,267,skip,1619052064,0.2
2,279,skip,1641720599,0.2
2,358,view,1603551676,0.5
2,326,pause,1627866960,0.5
2,61,like,1606008394,0.8
2,317,like,1672260051,0.8
2,364,rewind,1625100562,0.5
2,199,view,1638211315,0.5
2,63,skip,1630083845,0.2
2,366,rewind,1612869787,0.5
2,43,view,1681985071,0.5
2,42,rewind,1696941381,0.5
2,56,like,1677608281,0.8
2,59,skip,1651007913,0.2
2,40,like,1617206352,0.8
2,456,skip,1665407292,0.2
2,408,like,1610387631,0.8
2,304,rewind,1676548290,0.5
2,481,like,1694655867,0.8
2,438,like,1607590424,0.8
2,373,view,1686132578,0.5
2,370,skip,1680202970,0.2
2,139,view,1623726918,0.5
2,480,view,1664504906,0.5
2,124,skip,1662338599,0.2
3,138,rewind,1682286516,0.5
3,358,pause,1666446487,0.5
3,454,view,1674792479,0.5
3,49,like,1671442319,0.8
3,168,skip,1690686551,0.2
3,152,rewind,1611177064,0.5
3,332,pause,1686919171,0.5
3,298,skip,1688613624,0.2
3,456,like,1669623961,0.8
3,124,rewind,1673424050,0.5
3,101,like,1693747333,0.8
3,75,skip,1618962608,0.2
3,341,pause,1661505413,0.5
3,385,view,1683565816,0.5
3,3,skip,1655510058,0.2
3,129,skip,1662874157,0.2
3,139,pause,1685279719,0.5
3,241,like,1620601784,0.8
3,67,pause,1673428480,0.5
3,303,rewind,1653977708,0.5
3,81,view,1616718249,0.5
3,61,pause,1660168420,0.5
3,172,view,1615598877,0.5
3,136,skip,1693340346,0.2
3,368,view,1620209937,0.5
3,474,rewind,1607030332,0.5
3,443,view,1650640434,0.5
3,353,pause,1661009875,0.5
3,163,rewind,1644186701,0.5
3,245,rewind,1673863547,0.5
3,418,like,1643295210,0.8
3,158,like,1612176664,0.8
3,216,skip,1614763912,0.2
3,15,skip,1668104873,0.2
3,496,like,1667937681,0.8
3,405,like,1639143123,0.8
3,339,rewind,1689299736,0.5
3,83,view,1680176085,0.5
3,343,like,1684057753,0.8
3,87,like,1698415195,0.8
3,383,rewind,1643658862,0.5
3,423,pause,1605091880,0.5
4,343,skip,1632828034,0.2
4,68,like,1691868356,0.8
4,246,skip,1694952177,0.2
4,376,pause,1643124150,0.5
4,19,view,1604850887,0.5
4,414,pause,1644688922,0.5
4,93,rewind,1609470866,0.5
4,15,pause,1659639483,0.5
4,153,skip,1655295527,0.2
4,370,skip,1696562560,0.2
4,128,like,1650897826,0.8
4,1,skip,1671456047,0.2
4,415,skip,1669016550,0.2
4,343,like,1640619904,0.8
4,128,rewind,1629326585,0.5
4,31,like,1657422738,0.8
4,260,skip,1620700628,0.2
4,493,view,1684717758,0.5
4,226,rewind,1677746652,0.5
4,134,like,1632434132,0.8
4,7,rewind,1636291394,0.5
4,479,like,1673864398,0.8
4,457,like,1608979137,0.8
4,172,skip,1688137167,0.2
4,245,like,1643779563,0.8
4,132,rewind,1625760287,0.5
4,89,view,1639394389,0.5
4,380,rewind,1609459599,0.5
4,7,like,1607348587,0.8
4,144,rewind,1626158968,0.5
4,103,view,1635431882,0.5
4,23,pause,1624481174,0.5
4,457,rewind,1630642511,0.5
4,412,view,1662723198,0.5
4,433,view,1600204732,0.5
4,124,skip,1610128575,0.2
4,477,view,1669807251,0.5
4,485,like,1636901795,0.8
4,451,view,1652666233,0.5
4,114,like,1649511258,0.8
4,383,like,1676448293,0.8
4,0,pause,1627644272,0.5
4,259,like,1648766726,0.8
5,45,pause,1687022131,0.5
5,407,rewind,1602338914,0.5
